wv_nm,T_293,T_283,T_273,T_263,T_253,T_243,T_233,T_223,T_213,T_203,T_193,T_228
284.14,73.290126,72.262277,71.853666,71.892133,72.077474,70.95682,71.54862,70.489836,70.928306,69.844505,70.355874,70.9247897199423
284.15,73.208888,72.195565,71.795831,71.840485,72.021253,70.893605,71.47599,70.432539,70.85729,69.789898,70.298846,70.8655601586205
284.16,73.129533,72.131812,71.73961,71.792065,71.967184,70.834156,71.407664,70.376587,70.787081,69.739595,70.248274,70.8092498762193
284.17,73.051792,72.071018,71.684734,71.746873,71.914998,70.777935,71.343373,70.32198,70.718217,69.693327,70.203889,70.7557278591498
284.18,72.975665,72.013183,71.631203,71.70464,71.864426,70.724942,71.283924,70.268449,70.651236,69.651363,70.165153,70.7051112900824
284.19,72.90169,71.958038,71.578748,71.665097,71.815468,70.675177,71.228779,70.215456,70.585869,69.613165,70.131797,70.6570110200337
284.2,72.829329,71.906121,71.527638,71.627975,71.768124,70.627833,71.178476,70.163539,70.523192,69.578733,70.103014,70.6116420007117
284.21,72.75912,71.856894,71.477335,71.593005,71.721856,70.582641,71.132746,70.11216,70.463205,69.547798,70.078535,70.5685814770306
284.22,72.691063,71.810357,71.427839,71.559918,71.676664,70.539601,71.091589,70.06105,70.405908,69.519822,70.057284,70.5276787596111
284.23,72.624889,71.76651,71.37915,71.528176,71.632548,70.498175,71.055005,70.010209,70.352108,69.494536,70.038992,70.4888858204861
284.24,72.560329,71.724815,71.33073,71.497779,71.58897,70.457825,71.022456,69.959906,70.301805,69.471671,70.022852,70.4519310982459
284.25,72.497921,71.685272,71.282848,71.468189,71.546199,70.418282,70.994211,69.909603,70.254999,69.450689,70.007788,70.4165849571605
284.26,72.437127,71.647612,71.234966,71.438868,71.503697,70.379008,70.969463,69.8593,70.211959,69.431321,69.9938,70.3824969492031
284.27,72.377678,71.611566,71.186815,71.409816,71.461195,70.339734,70.948481,69.808997,70.172685,69.413029,69.979543,70.3495661260649
284.28,72.319843,71.576596,71.138664,71.380764,71.419231,70.30046,70.930189,69.758963,70.137177,69.395275,69.964748,70.3176328492334
284.29,72.263084,71.542702,71.089975,71.350905,71.376998,70.26011,70.914587,69.70866,70.105166,69.37779,69.948877,70.2861394640419
284.3,72.20767,71.509077,71.040479,71.320239,71.334496,70.218953,70.901137,69.658357,70.076383,69.360036,69.931123,70.2549446292999
284.31,72.153063,71.475721,70.990445,71.288228,71.291994,70.17672,70.889032,69.608054,70.050559,69.342013,69.911217,70.2238612962257
284.32,72.099532,71.442096,70.939335,71.254872,71.248954,70.133142,70.878272,69.557482,70.027694,69.322914,69.888621,70.1925707951215
284.33,72.04627,71.407664,70.887418,71.219902,71.205645,70.087681,70.867512,69.50691,70.006712,69.30247,69.863335,70.1607233460713
284.34,71.993815,71.372425,70.834156,71.18278,71.161798,70.040875,70.856752,69.456607,69.987344,69.280681,69.834821,70.1282141580712
284.35,71.941629,71.335841,70.779818,71.143506,71.117413,69.992455,70.845454,69.406035,69.968783,69.25674,69.803348,70.0947072329799
284.36,71.889712,71.297643,70.724135,71.101811,71.072759,69.942152,70.832542,69.355732,69.951029,69.230916,69.768378,70.0600582188915
284.37,71.838064,71.257293,70.667376,71.057964,71.027298,69.890235,70.818016,69.305429,69.932737,69.20294,69.729911,70.024028038341
284.38,71.786416,71.214791,70.609541,71.011427,70.981299,69.836704,70.801069,69.255395,69.913369,69.172274,69.688754,69.9864159426793
284.39,71.734768,71.169868,70.550361,70.9622,70.935031,69.781828,70.781163,69.20563,69.892656,69.138918,69.6441,69.9471465544539
284.4,71.68312,71.122524,70.490374,70.910552,70.887956,69.725607,70.758029,69.156403,69.869522,69.103141,69.597025,69.906091366494
284.41,71.631203,71.072221,70.429311,70.855945,70.840343,69.66831,70.731129,69.107445,69.843698,69.064405,69.54726,69.863063280874
284.42,71.579017,71.018959,70.367441,70.799186,70.792192,69.610206,70.700194,69.059025,69.814377,69.022979,69.495074,69.8181359514084
284.43,71.526831,70.963007,70.304764,70.739468,70.743503,69.551564,70.665224,69.011412,69.781021,68.978863,69.441274,69.7712162720397
284.44,71.474376,70.904365,70.241818,70.677867,70.694276,69.492653,70.625681,68.964337,69.743361,68.932057,69.385591,69.7223526322861
284.45,71.421383,70.842764,70.178334,70.613576,70.644511,69.433204,70.581834,68.918069,69.701128,68.882561,69.328832,69.6714961991714
284.46,71.368121,70.778742,70.114581,70.547402,70.594208,69.374293,70.533414,68.872608,69.654053,68.830644,69.270997,69.6188507262126
284.47,71.314321,70.712299,70.050828,70.479345,70.543098,69.315382,70.48069,68.827954,69.601867,68.776306,69.212624,69.5643461717901
284.48,71.260252,70.643704,69.987075,70.409405,70.49145,69.257009,70.423662,68.784645,69.544839,68.719816,69.153713,69.5082429155591
284.49,71.205376,70.572957,69.923591,70.33812,70.439264,69.199443,70.36233,68.741874,69.4827,68.661174,69.094802,69.4505652587851
284.5,71.150231,70.500865,69.860376,70.26549,70.386271,69.142684,70.29777,68.700448,69.415988,68.600649,69.035891,69.3916348268898
284.51,71.094279,70.427428,69.79743,70.191784,70.33274,69.087001,70.229444,68.659829,69.344703,68.538779,68.977518,69.3315035280396
284.52,71.03752,70.352915,69.735022,70.11754,70.278133,69.032125,70.158428,68.620286,69.269383,68.475295,68.919145,69.2703978736298
284.53,70.979954,70.277864,69.673152,70.042489,70.222719,68.978594,70.084722,68.581819,69.190566,68.410466,68.86131,69.2085289562921
284.54,70.921581,70.202544,69.611551,69.9669,70.166498,68.92587,70.008864,68.54389,69.10879,68.34483,68.804013,69.1459417277528
284.55,70.862401,70.127493,69.550757,69.891311,70.109201,68.874491,69.931392,68.507037,69.024324,68.278656,68.747254,69.0830324361261
284.56,70.802414,70.05298,69.490232,69.815991,70.051097,68.823919,69.853113,68.470991,68.938244,68.211944,68.690495,69.0199843483373
284.57,70.741351,69.979005,69.429976,69.74094,69.991917,68.774154,69.774296,68.435214,68.851088,68.144963,68.634274,68.956854139669
284.58,70.679212,69.906375,69.370258,69.666427,69.931661,68.725196,69.69521,68.400244,68.763394,68.077982,68.578053,68.8939063004207
284.59,70.616266,69.834821,69.31054,69.592721,69.870329,68.676776,69.616662,68.365543,68.6757,68.011539,68.521563,68.8312419052654
284.6,70.552513,69.76515,69.250822,69.520091,69.80819,68.628894,69.53919,68.330842,68.589082,67.945365,68.465073,68.7691080119231
284.61,70.487684,69.696824,69.191104,69.448268,69.744975,68.581281,69.462794,68.296141,68.503809,67.879729,68.408045,68.7074710856642
284.62,70.422317,69.63065,69.131386,69.378059,69.680684,68.533399,69.388012,68.261171,68.420419,67.815169,68.350748,68.6464379371005
284.63,70.356143,69.566359,69.07113,69.309195,69.615586,68.485517,69.315113,68.225932,68.339719,67.751685,68.292375,68.5862171033012
284.64,70.289162,69.503951,69.010336,69.241676,69.549412,68.437097,69.244097,68.189886,68.261709,67.689277,68.232926,68.5265752205664
284.65,70.221912,69.443426,68.949004,69.175771,69.482969,68.388408,69.175502,68.153033,68.186927,67.628214,68.17267,68.4678667867839
284.66,70.154124,69.384784,68.887134,69.111749,69.41545,68.338643,69.109328,68.115104,68.115373,67.568227,68.111069,68.4097962786007
284.67,70.086067,69.327756,68.824457,69.04961,69.347662,68.288071,69.045306,68.07583,68.047316,67.509854,68.048392,68.3524953333144
284.68,70.01801,69.272342,68.760704,68.989085,69.279605,68.236154,68.983705,68.035211,67.983025,67.452557,67.984101,68.2958152753618
