wv_nm,T_227
285.89,60.796016155
285.9,60.745019135
285.91,60.694250765
285.92,60.64356444
285.93,60.593106765
285.94,60.54260067
285.95,60.49191569
285.96,60.441320825
285.97,60.390294215
285.98,60.338958255
285.99,60.287068155
286,60.23448538
286.01,60.180949
286.02,60.126736085
286.03,60.071316705
286.04,60.014568465
286.05,59.95662183
286.06,59.89749294
286.07,59.83678233
286.08,59.774628535
286.09,59.711031555
286.1,59.64600753
286.11,59.579678855
286.12,59.5117846
286.13,59.44272423
286.14,59.37236728
286.15,59.301113215
286.16,59.2288235
286.17,59.155759065
286.18,59.082050375
286.19,59.00796643
286.2,58.933629625
286.21,58.858901425
286.22,58.784173225
286.23,58.709714025
286.24,58.63537722
286.25,58.561554205
286.26,58.48798405
286.27,58.41505008
286.28,58.342752295
286.29,58.27122116
286.3,58.200187675
286.31,58.129774235
286.32,58.060119375
286.33,57.99109263
286.34,57.92241693
286.35,57.854369345
286.36,57.78654234
286.37,57.719212985
286.38,57.65185135
286.39,57.584726435
286.4,57.517438775
286.41,57.44999644
286.42,57.382277035
286.43,57.314150095
286.44,57.24562369
286.45,57.176559285
286.46,57.10671209
286.47,57.03648157
286.48,56.965337795
286.49,56.8936883
286.5,56.821272155
286.51,56.748219825
286.52,56.674408915
286.53,56.600108425
286.54,56.525310285
286.55,56.4501611
286.56,56.3749218
286.57,56.299323385
286.58,56.223903855
286.59,56.148524675
286.6,56.07357724
286.61,55.998931085
286.62,55.924977605
286.63,55.85172487
286.64,55.779556205
286.65,55.70847161
286.66,55.638471085
286.67,55.57007649
286.68,55.50288836
286.69,55.437436625
286.7,55.373721285
286.71,55.31146527
286.72,55.251337045
286.73,55.19280668
286.74,55.13626557
286.75,55.081444715
286.76,55.02849072
286.77,54.977395515
286.78,54.928020565
286.79,54.880243475
286.8,54.834064245
286.81,54.78934434
286.82,54.74609183
286.83,54.70390725
286.84,54.662929135
286.85,54.622880415
286.86,54.583638695
286.87,54.54507351
286.88,54.507046325
286.89,54.46928814
286.9,54.43166849
286.91,54.394187375
286.92,54.356575795
286.93,54.31882568
286.94,54.280537565
286.95,54.241849985
286.96,54.2024778
286.97,54.16242908
286.98,54.12155722
286.99,54.079731755
287,54.03708315
287.01,53.9931958
287.02,53.948346775
287.03,53.902528005
287.04,53.855331955
287.05,53.80716616
287.06,53.75775355
287.07,53.70723266
287.08,53.65560349
287.09,53.60286604
287.1,53.54902031
287.11,53.493935835
287.12,53.438158685
287.13,53.38114279
287.14,53.323311825
287.15,53.264527255
287.16,53.20479715
287.17,53.144260045
287.18,53.082793545
287.19,53.02066665
287.2,52.95761843
287.21,52.893656955
287.22,52.82892076
287.23,52.763409845
287.24,52.69686328
287.25,52.62942767
287.26,52.56122541
287.27,52.491865105
287.28,52.42147722
287.29,52.349792755
287.3,52.27708071
287.31,52.20293355
287.32,52.127351275
287.33,52.050317745
287.34,51.971710565
287.35,51.89164406
287.36,51.8098573
287.37,51.726065145
287.38,51.640528525
287.39,51.553108905
287.4,51.46393675
287.41,51.37273499
287.42,51.279495555
287.43,51.184487445
287.44,51.08743359
287.45,50.988733455
287.46,50.888256575
287.47,50.786394345
287.48,50.682885835
287.49,50.578000045
287.5,50.471997905
287.51,50.36503409
287.52,50.25736146
287.53,50.14913469
287.54,50.04062278
287.55,49.931964265
287.56,49.82356668
287.57,49.71530763
287.58,49.607994115
287.59,49.501373275
287.6,49.395844575
287.61,49.291685085
287.62,49.189171875
287.63,49.088035945
287.64,48.988823365
287.65,48.891534135
287.66,48.796168255
287.67,48.702994725
287.68,48.61188308
287.69,48.52309425
287.7,48.436359235
287.71,48.351669965
287.72,48.26903451
287.73,48.18842866
287.74,48.109591485
287.75,48.032506845
287.76,47.957036205
287.77,47.883179565
287.78,47.810643715
287.79,47.73930626
287.8,47.66915106
287.81,47.599901045
287.82,47.531556215
287.83,47.4641085
287.84,47.397419365
287.85,47.331358345
287.86,47.266047835
287.87,47.201226905
287.88,47.137156485
287.89,47.07398318
287.9,47.011299455
287.91,46.949512845
287.92,46.888761885
287.93,46.829054645
287.94,46.770399195
287.95,46.713056465
287.96,46.657050665
287.97,46.602381795
287.98,46.549318855
287.99,46.497877985
288,46.448328185
288.01,46.400408525
288.02,46.35425754
288.03,46.310013765
288.04,46.267277735
288.05,46.22659552
288.06,46.18742105
288.07,46.14989286
288.08,46.11375002
288.09,46.07898446
288.1,46.04532718
288.11,46.012647715
288.12,45.980668995
288.13,45.94938295
288.14,45.918667185
288.15,45.88796756
288.16,45.857292145
288.17,45.8266248
288.18,45.79556606
288.19,45.76397739
288.2,45.73185879
288.21,45.69920219
288.22,45.665608125
288.23,45.631337525
288.24,45.59612946
288.25,45.560106325
288.26,45.52327619
288.27,45.485639055
288.28,45.44719492
288.29,45.40834325
288.3,45.36868458
288.31,45.328626445
288.32,45.28829931
288.33,45.24757271
288.34,45.206715645
288.35,45.165728115
288.36,45.12487912
288.37,45.084038195
288.38,45.04319727
288.39,45.002625345
288.4,44.96206149
288.41,44.9218971
288.42,44.881594175
288.43,44.841421715
288.44,44.80137972
288.45,44.761052585
288.46,44.72070931
288.47,44.680080895
288.48,44.63889834
288.49,44.597422575
288.5,44.555246065
288.51,44.512238345
288.52,44.46852181
288.53,44.423705065
288.54,44.377910505
288.55,44.3311462
288.56,44.283273615
288.57,44.23430082
288.58,44.18408928
288.59,44.132916065
288.6,44.08064264
288.61,44.027277075
288.62,43.97309644
288.63,43.918100735
288.64,43.862428495
288.65,43.80635679
288.66,43.749755155
288.67,43.692762125
288.68,43.635785235
288.69,43.578824485
288.7,43.521887945
288.71,43.465244615
288.72,43.40903303
288.73,43.353383655
288.74,43.298166025
288.75,43.243779605
288.76,43.189963465
288.77,43.13683193
288.78,43.084531605
288.79,43.032923955
288.8,42.98226991
288.81,42.9322924
288.82,42.88286096
288.83,42.83423652
288.84,42.78614201
288.85,42.73884643
288.86,42.691950315
288.87,42.645706525
288.88,42.59985413
288.89,42.55438506
288.9,42.509299315
288.91,42.46473543
288.92,42.42055487
288.93,42.376765705
288.94,42.3332294
288.95,42.290223025
288.96,42.24747758
288.97,42.2051316
288.98,42.16332362
288.99,42.121931245
289,42.08081594
